ci_name,ip_address,ci_type,environment,owner,status,last_discovered,location
webserver01,192.168.1.100,Web Server,Prod,J. Smith,Running,2024-02-16,NYC-DC1
webserver02,192.168.1.101,Web Server,Prod,J. Smith,Running,2024-02-16,NYC-DC1
db-primary-prod,10.0.1.50,Database,Production,Sarah Lee,Active,2024-02-16,NYC-DC1
dbreplica01,10.0.1.51,Database,Production,S. Lee,Active,2024-02-16,NYC-DC1
app-server-east-01,172.16.5.20,App Server,Production,M. Chen,Active,2024-02-15,NYC-DC2
AppServer_East_02,172.16.5.21,App Server,Production,Mike Chen,Active,2024-02-15,NYC-DC2
firewall_dmz_01,192.168.100.1,Firewall,Prod,Network Team,Active,2024-02-15,NYC-DC1
lb-prod-01,10.0.2.100,Load Balancer,Production,S. Lee,Active,2024-02-15,NYC-DC1
LoadBalancer-Prod-02,10.0.2.101,LB,Production,Sarah Lee,Active,2024-02-15,NYC-DC1
cache-redis-01,10.0.4.25,Cache,Production,John Smith,Active,2024-02-16,NYC-DC1
api-gateway-01,10.0.3.50,API Gateway,Production,Sarah Lee,Active,2024-02-15,NYC-DC1
apigateway02,10.0.3.51,API,Production,S. Lee,Active,2024-02-15,NYC-DC1
msg-queue-01,172.16.10.30,Message Queue,Production,Mike Chen,Active,2024-02-14,NYC-DC2
search-elasticsearch,10.0.5.75,Search Engine,Production,Tom Wilson,Active,2024-02-13,NYC-DC1
analytics-db-01,10.0.1.52,Database Server,Production,Sarah Lee,Active,2024-02-16,NYC-DC1
